number	name	parent	parent_name	a_p	a_p_err	e_p	e_p_err	sin_i_p	sin_i_p_err	g	g_err	h	h_err	mass	mass_err	diameter	diameter_err	inverse_diameter	inverse_diameter_err	albedo	albedo_err
2066	Palala	44	Nysa	2.3944	nan	0.1509	nan	0.0532	nan	0.15	nan	12.79	nan	nan	nan	17.39	0.219	0.05713	0.000720	0.049	0.0059
2072	Kosmodemyanskaya	nan	None	2.4501	nan	0.1579	nan	0.0774	nan	0.15	nan	12.84	nan	nan	nan	4.97	0.194	0.19925	0.007770	0.555	0.0869
2081	Sazava	44	Nysa	2.4502	nan	0.1523	nan	0.0537	nan	0.15	nan	12.45	nan	nan	nan	17.51	0.093	0.05484	0.000293	0.049	0.0019
2114	Wallenquist	24	Themis	3.2035	nan	0.1666	nan	0.0263	nan	0.15	nan	11.91	nan	nan	nan	22.63	0.074	0.04418	0.000144	0.110	0.0072
2127	Tanya	nan	None	3.2070	nan	0.0478	nan	0.2077	nan	0.15	nan	11.12	nan	nan	nan	38.34	0.174	0.02601	0.000118	0.052	0.0027
2158	Tietjen	nan	None	3.0764	nan	0.1771	nan	0.0412	nan	0.15	nan	11.76	nan	nan	nan	23.25	0.139	0.04296	0.000258	0.067	0.0071
2170	Byelorussia	44	Nysa	2.4046	nan	0.1476	nan	0.0542	nan	0.15	nan	13.90	nan	nan	nan	9.43	0.117	0.10608	0.001313	0.051	0.0086
2182	Semirot	24	Themis	3.1298	nan	0.1543	nan	0.0295	nan	0.15	nan	11.65	nan	nan	nan	24.38	0.090	0.04094	0.000152	0.076	0.0031
2190	Coubertin	nan	None	2.4719	nan	0.1088	nan	0.0301	nan	0.15	nan	13.29	nan	nan	nan	14.98	0.112	0.06652	0.000498	0.044	0.0021
2192	Pyatigoriya	nan	None	3.1362	nan	0.0600	nan	0.1762	nan	0.15	nan	11.65	nan	nan	nan	29.19	0.274	0.03426	0.000321	0.052	0.0065
2197	Shanghai	24	Themis	3.1520	nan	0.1416	nan	0.0322	nan	0.15	nan	11.53	nan	nan	nan	20.37	0.137	0.04886	0.000328	0.107	0.0093
2203	vanRhijn	24	Themis	3.1100	nan	0.1496	nan	0.0210	nan	0.15	nan	11.71	nan	nan	nan	22.32	0.178	0.04428	0.000353	0.086	0.0038
2217	Eltigen	24	Themis	3.1583	nan	0.1573	nan	0.0229	nan	0.15	nan	11.47	nan	nan	nan	28.19	0.116	0.03483	0.000144	0.112	0.0030
2220	Hicks	24	Themis	3.1499	nan	0.1360	nan	0.0245	nan	0.15	nan	12.40	nan	nan	nan	16.29	0.349	0.06137	0.001316	0.096	0.0146
2222	Lermontov	24	Themis	3.1162	nan	0.1602	nan	0.0229	nan	0.15	nan	11.46	nan	nan	nan	30.07	0.111	0.03303	0.000122	0.055	0.0038
2231	Durrell	nan	None	2.7286	nan	0.2082	nan	0.1480	nan	0.15	nan	12.42	nan	nan	nan	15.82	0.101	0.06322	0.000404	0.054	0.0070
2238	Steshenko	24	Themis	3.0650	nan	0.1502	nan	0.0229	nan	0.15	nan	12.61	nan	nan	nan	15.03	0.178	0.06631	0.000785	0.075	0.0090
2244	Tesla	nan	None	2.8111	nan	0.1489	nan	0.1181	nan	0.15	nan	12.00	nan	nan	nan	24.60	0.028	0.04057	0.000046	0.041	0.0027
2248	Kanda	24	Themis	3.0995	nan	0.1524	nan	0.0268	nan	0.15	nan	11.40	nan	nan	nan	26.29	0.153	0.03802	0.000222	0.089	0.0078
