number	name	parent	parent_name	a_p	a_p_err	e_p	e_p_err	sin_i_p	sin_i_p_err	g	g_err	h	h_err	mass	mass_err	diameter	diameter_err	inverse_diameter	inverse_diameter_err	albedo	albedo_err
4680	Lohrmann	8	Flora	2.3098	nan	0.1663	nan	0.0927	nan	0.15	nan	14.01	nan	nan	nan	nan	nan	nan	nan	nan	nan
4683	Veratar	24	Themis	3.1185	nan	0.1593	nan	0.0239	nan	0.15	nan	12.28	nan	nan	nan	17.26	0.113	0.05793	0.000379	0.085	0.0202
4686	Maisica	nan	None	2.3654	nan	0.1177	nan	0.0941	nan	0.15	nan	13.62	nan	nan	nan	3.48	0.889	0.28760	0.073535	0.699	0.2797
4697	Novara	44	Nysa	2.4333	nan	0.1472	nan	0.0473	nan	0.15	nan	14.03	nan	nan	nan	7.18	1.321	0.13898	0.025561	0.078	0.0314
4740	Veniamina	nan	None	2.7144	nan	0.1997	nan	0.1450	nan	0.15	nan	13.49	nan	nan	nan	11.38	0.171	0.08757	0.001318	0.064	0.0074
4752	Myron	24	Themis	3.0936	nan	0.1447	nan	0.0251	nan	0.15	nan	12.90	nan	nan	nan	13.05	0.296	0.07298	0.001655	0.074	0.0127
4759	Aretta	24	Themis	3.1768	nan	0.1532	nan	0.0156	nan	0.15	nan	12.54	nan	nan	nan	16.09	0.184	0.06147	0.000703	0.092	0.0078
4786	Tatianina	nan	None	2.3579	nan	0.2107	nan	0.1137	nan	0.15	nan	13.42	nan	nan	nan	3.28	0.197	0.30469	0.018289	0.514	0.1593
4790	Petrpravec	nan	None	2.6264	nan	0.1124	nan	0.2093	nan	0.15	nan	13.08	nan	nan	nan	16.21	0.095	0.06168	0.000362	0.044	0.0053
4864	Nimoy	nan	None	2.4693	nan	0.1408	nan	0.0459	nan	0.15	nan	13.54	nan	nan	nan	11.89	0.073	0.08391	0.000513	0.047	0.0064
4903	Ichikawa	24	Themis	3.1505	nan	0.1525	nan	0.0241	nan	0.15	nan	12.74	nan	nan	nan	14.90	0.362	0.06705	0.001631	0.109	0.0081
4955	Gold	10	Hygiea	3.1469	nan	0.1163	nan	0.1099	nan	0.15	nan	11.86	nan	nan	nan	20.17	0.170	0.04898	0.000413	0.069	0.0078
4969	Lawrence	2	Pallas	2.7574	nan	0.2735	nan	0.5443	nan	0.15	nan	12.86	nan	nan	nan	7.71	1.489	0.12802	0.024717	0.112	0.0507
4980	Magomaev	24	Themis	3.1873	nan	0.1407	nan	0.0206	nan	0.15	nan	12.57	nan	nan	nan	16.96	0.125	0.05895	0.000434	0.073	0.0134
5057	Weeks	nan	None	3.1310	nan	0.1307	nan	0.1152	nan	0.15	nan	12.55	nan	nan	nan	16.52	0.228	0.06014	0.000825	0.082	0.0152
5084	Gnedin	nan	None	3.1545	nan	0.1200	nan	0.1196	nan	0.15	nan	12.40	nan	nan	nan	17.82	0.209	0.05611	0.000658	0.087	0.0086
5088	Tancredi	24	Themis	3.1110	nan	0.1486	nan	0.0238	nan	0.15	nan	12.67	nan	nan	nan	15.74	0.114	0.06345	0.000461	0.072	0.0087
5100	Pasachoff	nan	None	2.4688	nan	0.1683	nan	0.1187	nan	0.15	nan	13.74	nan	nan	nan	11.41	0.099	0.08759	0.000756	0.058	0.0087
5116	Korsor	10	Hygiea	3.1819	nan	0.1195	nan	0.0868	nan	0.15	nan	12.02	nan	nan	nan	18.57	0.269	0.05384	0.000780	0.141	0.0234
5133	Phillipadams	nan	None	2.7128	nan	0.1828	nan	0.1970	nan	0.15	nan	12.14	nan	nan	nan	22.68	0.116	0.04408	0.000225	0.079	0.0035
5138	Gyoda	24	Themis	3.1033	nan	0.1668	nan	0.0264	nan	0.15	nan	12.70	nan	nan	nan	14.78	0.545	0.06764	0.002494	0.169	0.0184
5155	Denisyuk	10	Hygiea	3.1143	nan	0.1390	nan	0.0922	nan	0.15	nan	12.45	nan	nan	nan	15.48	0.185	0.06453	0.000770	0.120	0.0160
5166	Olson	nan	None	2.3402	nan	0.1430	nan	0.0665	nan	0.15	nan	13.71	nan	nan	nan	11.44	0.027	0.08740	0.000206	0.045	0.0011
5177	Hugowolf	nan	None	2.3383	nan	0.1556	nan	0.0612	nan	0.15	nan	14.20	nan	nan	nan	8.96	0.129	0.11035	0.001589	0.055	0.0038
5204	Herakleitos	24	Themis	3.1410	nan	0.1498	nan	0.0237	nan	0.15	nan	13.00	nan	nan	nan	13.14	0.086	0.07612	0.000498	0.129	0.0050
5210	Saint-Saens	44	Nysa	2.4401	nan	0.1484	nan	0.0411	nan	0.15	nan	14.13	nan	nan	nan	8.36	0.195	0.11874	0.002761	0.071	0.0134
5222	Ioffe	2	Pallas	2.7754	nan	0.2772	nan	0.5407	nan	0.15	nan	11.58	nan	nan	nan	18.16	0.081	0.05480	0.000246	0.128	0.0088
5225	Loral	24	Themis	3.0829	nan	0.1521	nan	0.0203	nan	0.15	nan	12.59	nan	nan	nan	15.44	0.049	0.06450	0.000206	0.058	0.0056
5243	Clasien	668	Dora	2.7776	nan	0.1938	nan	0.1353	nan	0.15	nan	13.23	nan	nan	nan	13.94	0.112	0.07172	0.000575	0.046	0.0024
5280	Andrewbecker	nan	None	2.5863	nan	0.2387	nan	0.2233	nan	0.15	nan	13.73	nan	nan	nan	11.26	1.499	0.08677	0.011556	0.042	0.0119
5295	Masayo	10	Hygiea	3.1419	nan	0.1304	nan	0.0919	nan	0.15	nan	12.02	nan	nan	nan	20.57	0.282	0.04811	0.000658	0.103	0.0169
5312	Schott	nan	None	3.1756	nan	0.2662	nan	0.0311	nan	0.15	nan	13.62	nan	nan	nan	7.73	2.000	0.12937	0.033471	0.100	0.0900
5329	Decaro	3	Juno	2.6080	nan	0.2300	nan	0.2317	nan	0.15	nan	13.08	nan	nan	nan	11.07	0.083	0.08547	0.000646	0.054	0.0062
5336	1991JE1	nan	None	3.1193	nan	0.1613	nan	0.1967	nan	0.15	nan	11.97	nan	nan	nan	24.43	0.836	0.04082	0.001397	0.047	0.0123
5346	Benedetti	24	Themis	3.1466	nan	0.1511	nan	0.0264	nan	0.15	nan	12.49	nan	nan	nan	15.57	2.598	0.06419	0.010713	0.060	0.0236
5349	Paulharris	nan	None	nan	nan	nan	nan	nan	nan	0.15	nan	13.14	nan	nan	nan	9.10	1.400	0.10989	0.016906	0.150	0.0400
5352	Fujita	nan	None	2.3884	nan	0.1575	nan	0.0886	nan	0.15	nan	13.22	nan	nan	nan	4.20	0.318	0.23787	0.017993	0.691	0.1710
5364	1980RC1	nan	None	2.4582	nan	0.1630	nan	0.0741	nan	0.15	nan	13.34	nan	nan	nan	12.27	0.074	0.08147	0.000489	0.056	0.0056
5375	Siedentopf	24	Themis	3.1811	nan	0.1416	nan	0.0221	nan	0.15	nan	13.47	nan	nan	nan	nan	nan	nan	nan	nan	nan
5396	1988SH1	nan	None	2.3968	nan	0.1632	nan	0.0895	nan	0.15	nan	13.81	nan	nan	nan	nan	nan	nan	nan	nan	nan
5411	Liia	nan	None	3.0756	nan	0.0704	nan	0.1150	nan	0.15	nan	12.41	nan	nan	nan	19.29	0.206	0.05185	0.000554	0.067	0.0049
5419	Benua	nan	None	3.0989	nan	0.1539	nan	0.1132	nan	0.15	nan	12.97	nan	nan	nan	13.91	0.237	0.07191	0.001225	0.083	0.0104
5423	Horahorejs	nan	None	2.3812	nan	0.1893	nan	0.0530	nan	0.15	nan	14.19	nan	nan	nan	8.75	0.242	0.11324	0.003122	0.062	0.0086
5429	1988BZ1	24	Themis	3.2002	nan	0.1662	nan	0.0250	nan	0.15	nan	12.98	nan	nan	nan	13.91	0.238	0.07187	0.001231	0.075	0.0089
5532	Ichinohe	nan	None	3.1238	nan	0.1698	nan	0.0091	nan	0.15	nan	12.72	nan	nan	nan	17.92	0.120	0.05579	0.000373	0.045	0.0078
5539	Limporyen	44	Nysa	2.4366	nan	0.1458	nan	0.0473	nan	0.15	nan	13.87	nan	nan	nan	10.33	0.147	0.09669	0.001380	0.056	0.0066
5550	1981UB1	24	Themis	3.0919	nan	0.1626	nan	0.0162	nan	0.15	nan	12.31	nan	nan	nan	18.69	0.073	0.05344	0.000208	0.073	0.0114
5613	Donskoj	24	Themis	3.1065	nan	0.1527	nan	0.0349	nan	0.15	nan	12.94	nan	nan	nan	14.31	0.174	0.06986	0.000848	0.052	0.0079
5666	Rabelais	nan	None	2.4815	nan	0.1474	nan	0.0643	nan	0.15	nan	13.39	nan	nan	nan	15.04	0.280	0.06612	0.001232	0.037	0.0045
5670	Rosstaylor	nan	None	3.1827	nan	0.1235	nan	0.3534	nan	0.15	nan	11.46	nan	nan	nan	31.59	0.102	0.03120	0.000101	0.057	0.0049
5678	DuBridge	2	Pallas	2.7301	nan	0.2341	nan	0.5512	nan	0.15	nan	14.00	nan	nan	nan	5.99	0.164	0.16689	0.004564	0.325	0.0403
5690	1992EU	nan	None	2.7996	nan	0.2430	nan	0.5396	nan	0.15	nan	13.15	nan	nan	nan	11.22	2.162	0.08779	0.016921	0.053	0.0156
5697	Arrhenius	nan	None	3.1438	nan	0.0684	nan	0.2337	nan	0.15	nan	12.65	nan	nan	nan	16.50	0.153	0.06060	0.000562	0.071	0.0064
5709	Tamyeunleung	nan	None	3.0762	nan	0.2033	nan	0.0510	nan	0.15	nan	12.46	nan	nan	nan	17.74	1.467	0.05578	0.004609	0.075	0.0145
5733	1989AQ	nan	None	3.2083	nan	0.1368	nan	0.0151	nan	0.15	nan	12.68	nan	nan	nan	20.66	0.200	0.04839	0.000468	0.041	0.0040
5788	1992NJ	nan	None	3.1971	nan	0.0540	nan	0.3814	nan	0.15	nan	12.36	nan	nan	nan	17.79	0.170	0.05615	0.000535	0.064	0.0062
5821	Yukiomaeda	nan	None	2.4488	nan	0.1099	nan	0.0128	nan	0.15	nan	14.57	nan	nan	nan	6.81	0.151	0.14617	0.003231	0.079	0.0065
5822	Masakichi	nan	None	2.4087	nan	0.1851	nan	0.0833	nan	0.15	nan	13.72	nan	nan	nan	nan	nan	nan	nan	nan	nan
5880	1992MA	24	Themis	3.0865	nan	0.1539	nan	0.0232	nan	0.15	nan	12.79	nan	nan	nan	nan	nan	nan	nan	nan	nan
5919	Patrickmartin	24	Themis	3.2063	nan	0.1402	nan	0.0247	nan	0.15	nan	12.31	nan	nan	nan	15.03	0.898	0.05951	0.003567	0.094	0.0195
5922	Shouichi	9506	Telramund	3.0026	nan	0.0756	nan	0.1512	nan	0.15	nan	11.98	nan	nan	nan	29.27	0.147	0.03412	0.000172	0.048	0.0040
5924	Teruo	44	Nysa	2.3459	nan	0.1496	nan	0.0594	nan	0.15	nan	13.41	nan	nan	nan	13.16	0.080	0.07497	0.000457	0.059	0.0015
5957	Irina	702	Alauda	3.2358	nan	0.0858	nan	0.3831	nan	0.15	nan	12.50	nan	nan	nan	15.28	0.166	0.06541	0.000709	0.099	0.0092
5974	1991UZ2	24	Themis	3.1303	nan	0.1856	nan	0.0278	nan	0.15	nan	12.66	nan	nan	nan	15.55	0.089	0.06430	0.000368	0.067	0.0070
6013	Andanike	nan	None	2.3719	nan	0.1752	nan	0.0882	nan	0.15	nan	13.99	nan	nan	nan	nan	nan	nan	nan	nan	nan
6016	Carnelli	nan	None	2.3328	nan	0.1723	nan	0.1051	nan	0.15	nan	13.37	nan	nan	nan	3.53	0.167	0.28361	0.013432	0.818	0.0791
6033	1984SQ4	nan	None	3.1740	nan	0.1138	nan	0.2930	nan	0.15	nan	12.58	nan	nan	nan	16.18	0.276	0.06088	0.001038	0.079	0.0066
6052	Junichi	702	Alauda	3.2436	nan	0.0259	nan	0.3673	nan	0.15	nan	11.21	nan	nan	nan	24.68	0.135	0.04039	0.000219	0.106	0.0039
6106	Stoss	24	Themis	3.1687	nan	0.1510	nan	0.0267	nan	0.15	nan	12.81	nan	nan	nan	13.66	0.113	0.07317	0.000604	0.085	0.0105
6111	Davemckay	nan	None	2.4524	nan	0.1791	nan	0.0522	nan	0.15	nan	13.26	nan	nan	nan	9.78	0.085	0.09115	0.000795	0.077	0.0029
6118	Mayuboshi	nan	None	2.4801	nan	0.1448	nan	0.0438	nan	0.15	nan	13.78	nan	nan	nan	10.88	0.330	0.09087	0.002754	0.053	0.0079
6150	Neukum	10	Hygiea	3.1600	nan	0.1038	nan	0.0814	nan	0.15	nan	12.96	nan	nan	nan	11.73	0.052	0.08518	0.000377	0.099	0.0085
6221	Ducentesima	24	Themis	3.1667	nan	0.1439	nan	0.0233	nan	0.15	nan	13.05	nan	nan	nan	13.21	0.100	0.07573	0.000573	0.064	0.0123
6279	1977UO5	24	Themis	3.1230	nan	0.1786	nan	0.0252	nan	0.15	nan	12.70	nan	nan	nan	16.55	0.080	0.06037	0.000291	0.054	0.0036
6288	Fouts	24	Themis	3.2012	nan	0.1658	nan	0.0331	nan	0.15	nan	12.87	nan	nan	nan	nan	nan	nan	nan	nan	nan
6289	Lanusei	24	Themis	3.1821	nan	0.1437	nan	0.0303	nan	0.15	nan	12.89	nan	nan	nan	11.63	0.352	0.08596	0.002601	0.099	0.0185
6301	1989BR1	24	Themis	3.1838	nan	0.1661	nan	0.0226	nan	0.15	nan	12.31	nan	nan	nan	17.95	0.366	0.05568	0.001135	0.101	0.0121
6337	Shiota	nan	None	3.0895	nan	0.1470	nan	0.0477	nan	0.15	nan	13.14	nan	nan	nan	14.50	0.087	0.06898	0.000414	0.052	0.0084
6338	Isaosato	nan	None	3.1694	nan	0.0898	nan	0.2442	nan	0.15	nan	11.93	nan	nan	nan	23.04	0.360	0.04337	0.000677	0.067	0.0100
6353	Semper	nan	None	3.0939	nan	0.1612	nan	0.0423	nan	0.15	nan	12.74	nan	nan	nan	15.50	0.630	0.06452	0.002622	0.074	0.0100
6375	Fredharris	24	Themis	3.1779	nan	0.1497	nan	0.0246	nan	0.15	nan	12.85	nan	nan	nan	14.62	0.214	0.06814	0.000999	0.059	0.0081
6392	Takashimizuno	nan	None	3.2302	nan	0.0991	nan	0.2907	nan	0.15	nan	11.62	nan	nan	nan	25.24	0.154	0.03957	0.000241	0.092	0.0073
6433	Enya	nan	None	2.3872	nan	0.1975	nan	0.1297	nan	0.15	nan	14.32	nan	nan	nan	7.29	0.158	0.13575	0.002946	0.083	0.0104
6472	Rosema	10	Hygiea	3.1062	nan	0.1524	nan	0.1032	nan	0.15	nan	13.24	nan	nan	nan	12.61	0.241	0.07912	0.001513	0.098	0.0180
6482	Steiermark	24	Themis	3.1664	nan	0.1515	nan	0.0188	nan	0.15	nan	13.52	nan	nan	nan	nan	nan	nan	nan	nan	nan
6500	Kodaira	nan	None	nan	nan	nan	nan	nan	nan	0.15	nan	12.75	nan	nan	nan	12.70	1.338	0.07843	0.008261	0.095	0.0212
6534	Carriepeterson	702	Alauda	3.1648	nan	0.1296	nan	0.3811	nan	0.15	nan	12.57	nan	nan	nan	13.41	2.440	0.07457	0.013569	0.108	0.0530
6536	Vysochinska	8	Flora	2.3385	nan	0.1774	nan	0.0998	nan	0.15	nan	13.73	nan	nan	nan	nan	nan	nan	nan	nan	nan
6542	Jacquescousteau	nan	None	2.3030	nan	0.1593	nan	0.0600	nan	0.15	nan	14.14	nan	nan	nan	8.90	0.027	0.11232	0.000339	0.063	0.0073
6559	Nomura	nan	None	2.3487	nan	0.2297	nan	0.1773	nan	0.15	nan	14.08	nan	nan	nan	10.32	0.296	0.09527	0.002732	0.044	0.0073
6568	Serendip	nan	None	2.5451	nan	0.1498	nan	0.1653	nan	0.15	nan	14.23	nan	nan	nan	9.63	0.109	0.10334	0.001165	0.046	0.0027
6598	Modugno	nan	None	2.6991	nan	0.2264	nan	0.1974	nan	0.15	nan	13.49	nan	nan	nan	11.30	0.025	0.08849	0.000196	0.082	0.0048
6603	Marycragg	nan	None	2.6497	nan	0.2227	nan	0.2773	nan	0.15	nan	13.36	nan	nan	nan	10.95	0.175	0.09102	0.001447	0.072	0.0090
6673	Degas	nan	None	2.4302	nan	0.1763	nan	0.0608	nan	0.15	nan	13.57	nan	nan	nan	12.46	0.050	0.08026	0.000324	0.049	0.0039
6676	Monet	24	Themis	3.1681	nan	0.1835	nan	0.0226	nan	0.15	nan	13.32	nan	nan	nan	11.00	0.155	0.09086	0.001282	0.084	0.0140
6695	Barrettduff	nan	None	2.6067	nan	0.1737	nan	0.2673	nan	0.15	nan	14.35	nan	nan	nan	4.97	0.235	0.19963	0.009421	0.197	0.0234
6698	Malhotra	44	Nysa	2.4412	nan	0.1517	nan	0.0475	nan	0.15	nan	14.29	nan	nan	nan	8.51	0.067	0.11744	0.000923	0.049	0.0040
6702	1988BP3	nan	None	2.6986	nan	0.1304	nan	0.1303	nan	0.15	nan	13.48	nan	nan	nan	10.81	0.095	0.09247	0.000813	0.077	0.0063
6748	Bratton	44	Nysa	2.4715	nan	0.1591	nan	0.0554	nan	0.15	nan	14.02	nan	nan	nan	10.87	0.051	0.09189	0.000435	0.067	0.0032
6803	1995UK7	nan	None	2.7317	nan	0.1657	nan	0.1263	nan	0.15	nan	13.57	nan	nan	nan	4.79	0.262	0.20864	0.011405	0.404	0.0718
6850	1981QT3	nan	None	3.1517	nan	0.1062	nan	0.1096	nan	0.15	nan	12.45	nan	nan	nan	22.14	2.820	0.04517	0.005753	0.069	0.0310
6890	Savinykh	24	Themis	3.2320	nan	0.1302	nan	0.0284	nan	0.15	nan	12.12	nan	nan	nan	19.40	0.056	0.05150	0.000149	0.076	0.0050
6946	1980RX1	8	Flora	2.2677	nan	0.1163	nan	0.0792	nan	0.15	nan	13.54	nan	nan	nan	5.02	0.180	0.19680	0.007052	0.222	0.0262
6953	Davepierce	24	Themis	3.1226	nan	0.1695	nan	0.0277	nan	0.15	nan	12.82	nan	nan	nan	15.93	0.240	0.06270	0.000943	0.060	0.0098
6955	Ekaterina	24	Themis	3.1128	nan	0.1373	nan	0.0208	nan	0.15	nan	12.51	nan	nan	nan	16.05	0.060	0.06231	0.000233	0.075	0.0158
7020	Yourcenar	44	Nysa	2.4272	nan	0.1434	nan	0.0471	nan	0.15	nan	14.10	nan	nan	nan	9.03	0.120	0.11052	0.001471	0.072	0.0074
7024	1992PA4	24	Themis	3.1128	nan	0.1429	nan	0.0275	nan	0.15	nan	12.42	nan	nan	nan	17.22	0.200	0.05806	0.000674	0.064	0.0035
7065	Fredschaaf	nan	None	2.7777	nan	0.0088	nan	0.1372	nan	0.15	nan	12.94	nan	nan	nan	15.98	0.112	0.06255	0.000438	0.057	0.0076
7076	1980UC	nan	None	3.1447	nan	0.1906	nan	0.0256	nan	0.15	nan	12.85	nan	nan	nan	13.23	0.170	0.07560	0.000972	0.092	0.0056
7083	Kant	nan	None	2.8062	nan	0.1874	nan	0.1320	nan	0.15	nan	13.04	nan	nan	nan	13.24	0.209	0.07529	0.001186	0.065	0.0061
7087	Lewotsky	434	Hungaria	1.9560	nan	0.0911	nan	0.3510	nan	0.15	nan	14.14	nan	nan	nan	2.58	0.072	0.38775	0.010825	nan	nan
7099	Feuerbach	24	Themis	3.1592	nan	0.1453	nan	0.0178	nan	0.15	nan	13.01	nan	nan	nan	12.95	0.299	0.07724	0.001784	0.088	0.0145
7102	Neilbone	nan	None	3.0894	nan	0.2774	nan	0.3122	nan	0.15	nan	12.22	nan	nan	nan	21.59	0.224	0.04628	0.000481	0.063	0.0052
7150	McKellar	44	Nysa	2.4180	nan	0.1473	nan	0.0480	nan	0.15	nan	14.36	nan	nan	nan	8.41	0.147	0.11874	0.002082	0.052	0.0028
7222	Alekperov	nan	None	3.2190	nan	0.1770	nan	0.0309	nan	0.15	nan	12.84	nan	nan	nan	15.88	0.669	0.06242	0.002626	0.063	0.0109
7240	Hasebe	nan	None	2.3549	nan	0.1442	nan	0.0918	nan	0.15	nan	14.08	nan	nan	nan	3.26	0.135	0.30637	0.012672	0.501	0.0774
7283	1989TX15	298	Baptistina	2.2645	nan	0.1353	nan	0.0896	nan	0.15	nan	14.24	nan	nan	nan	nan	nan	nan	nan	nan	nan
7331	Balindblad	702	Alauda	3.1815	nan	0.0368	nan	0.3754	nan	0.15	nan	11.86	nan	nan	nan	22.40	0.081	0.04464	0.000162	0.083	0.0090
7347	1993EW	24	Themis	3.0832	nan	0.1515	nan	0.0255	nan	0.15	nan	13.15	nan	nan	nan	13.09	0.111	0.07626	0.000646	0.061	0.0084
7385	Aktsynovia	nan	None	2.3898	nan	0.1291	nan	0.0492	nan	0.15	nan	14.06	nan	nan	nan	8.80	0.112	0.11339	0.001440	0.061	0.0083
7404	1988AA5	nan	None	2.7934	nan	0.2542	nan	0.1113	nan	0.15	nan	13.78	nan	nan	nan	10.95	0.139	0.08970	0.001141	0.056	0.0028
7406	1988TD	44	Nysa	2.4450	nan	0.1606	nan	0.0446	nan	0.15	nan	14.31	nan	nan	nan	6.91	0.101	0.14400	0.002101	0.122	0.0065
7412	Linnaeus	24	Themis	3.1792	nan	0.1656	nan	0.0228	nan	0.15	nan	13.06	nan	nan	nan	12.09	0.150	0.08267	0.001024	0.089	0.0133
7462	Grenoble	298	Baptistina	2.2679	nan	0.1478	nan	0.1064	nan	0.15	nan	13.98	nan	nan	nan	4.82	0.152	0.18969	0.005875	0.191	0.0245
7498	Blanik	702	Alauda	3.1776	nan	0.0071	nan	0.3681	nan	0.15	nan	12.18	nan	nan	nan	17.05	0.234	0.05865	0.000805	0.104	0.0105
7517	Alisondoane	nan	None	2.4473	nan	0.2461	nan	0.1150	nan	0.15	nan	13.84	nan	nan	nan	9.16	0.187	0.10905	0.002222	0.061	0.0075
7526	Ohtsuka	nan	None	2.4629	nan	0.2359	nan	0.0884	nan	0.15	nan	14.05	nan	nan	nan	8.12	0.220	0.11602	0.003142	0.077	0.0062
7563	1988BC	nan	None	2.6786	nan	0.2544	nan	0.2076	nan	0.15	nan	12.84	nan	nan	nan	15.33	0.057	0.06447	0.000241	0.051	0.0028
7573	Basfifty	24	Themis	3.1065	nan	0.1327	nan	0.0254	nan	0.15	nan	13.38	nan	nan	nan	10.02	0.264	0.09980	0.002626	0.126	0.0155
7650	Kaname	845	Naema	2.9379	nan	0.0349	nan	0.2084	nan	0.15	nan	12.61	nan	nan	nan	17.79	0.164	0.05617	0.000517	0.049	0.0073
7681	Chenjingrun	nan	None	2.3371	nan	0.1961	nan	0.1307	nan	0.15	nan	14.22	nan	nan	nan	9.01	0.280	0.10712	0.003340	0.040	0.0071
7727	Chepurova	nan	None	2.3588	nan	0.1804	nan	0.0545	nan	0.15	nan	13.88	nan	nan	nan	11.03	0.605	0.08913	0.004884	0.037	0.0062
7731	1978UV	nan	None	2.6663	nan	0.2386	nan	0.0925	nan	0.15	nan	12.92	nan	nan	nan	12.32	0.055	0.08115	0.000362	0.066	0.0063
7734	Kaltenegger	nan	None	2.3681	nan	0.1723	nan	0.0870	nan	0.15	nan	14.57	nan	nan	nan	nan	nan	nan	nan	nan	nan
7756	Scientia	nan	None	3.1605	nan	0.0126	nan	0.2679	nan	0.15	nan	12.71	nan	nan	nan	16.19	2.310	0.06177	0.008813	0.067	0.0210
7849	Janjosefric	128	Nemesis	2.7323	nan	0.0863	nan	0.0858	nan	0.15	nan	13.89	nan	nan	nan	8.36	0.234	0.11963	0.003349	0.070	0.0098
7879	1992EX17	nan	None	2.3526	nan	0.1786	nan	0.1450	nan	0.15	nan	14.27	nan	nan	nan	5.28	1.236	0.18947	0.044369	0.138	0.0580
7896	Svejk	24	Themis	3.1445	nan	0.1658	nan	0.0235	nan	0.15	nan	12.64	nan	nan	nan	15.33	0.270	0.06522	0.001151	0.082	0.0081
7943	1991PQ12	24	Themis	3.1519	nan	0.1313	nan	0.0242	nan	0.15	nan	12.83	nan	nan	nan	11.30	0.347	0.08453	0.002606	0.081	0.0141
7991	Kaguyahime	24	Themis	3.1419	nan	0.1666	nan	0.0184	nan	0.15	nan	12.77	nan	nan	nan	13.57	0.229	0.07371	0.001244	0.096	0.0227
8019	Karachkina	nan	None	2.3694	nan	0.1759	nan	0.0883	nan	0.15	nan	14.14	nan	nan	nan	2.88	0.426	0.34571	0.051136	0.599	0.1627
8071	Simonelli	nan	None	2.3413	nan	0.1029	nan	0.0593	nan	0.15	nan	14.30	nan	nan	nan	8.11	0.043	0.12304	0.000659	0.053	0.0059
8090	1991RO23	nan	None	3.1684	nan	0.1263	nan	0.2703	nan	0.15	nan	12.53	nan	nan	nan	13.71	0.145	0.07295	0.000771	0.142	0.0205
8095	1992WS2	24	Themis	3.1511	nan	0.1541	nan	0.0248	nan	0.15	nan	12.78	nan	nan	nan	15.35	0.420	0.06513	0.001782	0.119	0.0330
8097	Yamanishi	44	Nysa	2.4332	nan	0.1493	nan	0.0467	nan	0.15	nan	14.14	nan	nan	nan	6.20	0.873	0.15868	0.022339	0.106	0.0332
8133	Takanochoei	24	Themis	3.1549	nan	0.1595	nan	0.0189	nan	0.15	nan	12.64	nan	nan	nan	13.92	0.176	0.07184	0.000908	0.100	0.0121
8147	Colemanhawkins	nan	None	2.6420	nan	0.2652	nan	0.0871	nan	0.15	nan	14.06	nan	nan	nan	8.82	0.129	0.11325	0.001659	0.045	0.0136
8205	VanDijck	24	Themis	3.1882	nan	0.1727	nan	0.0219	nan	0.15	nan	13.02	nan	nan	nan	nan	nan	nan	nan	nan	nan
8208	Volta	nan	None	2.5442	nan	0.2139	nan	0.2146	nan	0.15	nan	13.98	nan	nan	nan	9.26	0.069	0.10802	0.000804	0.057	0.0077
8346	1987DW6	24	Themis	3.1599	nan	0.1757	nan	0.0309	nan	0.15	nan	12.95	nan	nan	nan	12.90	0.112	0.07754	0.000678	0.086	0.0110
8354	1989RF	10	Hygiea	3.1827	nan	0.1468	nan	0.0881	nan	0.15	nan	12.57	nan	nan	nan	15.66	0.340	0.06290	0.001364	0.058	0.0054
8362	1990QM1	nan	None	3.1647	nan	0.1636	nan	0.0338	nan	0.15	nan	13.48	nan	nan	nan	11.32	2.130	0.08834	0.016622	0.060	0.0245
8390	1993FE48	nan	None	3.0469	nan	0.1178	nan	0.0363	nan	0.15	nan	13.08	nan	nan	nan	12.04	0.156	0.08304	0.001076	0.084	0.0159
8399	Wakamatsu	20	Massalia	2.4318	nan	0.1537	nan	0.0234	nan	0.15	nan	14.98	nan	nan	nan	5.73	0.106	0.17384	0.003201	0.068	0.0076
8402	1994GH9	2262	Mitidika	2.6226	nan	0.2661	nan	0.2164	nan	0.15	nan	13.43	nan	nan	nan	9.87	0.144	0.10019	0.001462	0.053	0.0067
8419	Terumikazumi	nan	None	2.7447	nan	0.1150	nan	0.1287	nan	0.15	nan	13.36	nan	nan	nan	nan	nan	nan	nan	nan	nan
8432	Tamakasuga	24	Themis	3.1838	nan	0.1842	nan	0.0214	nan	0.15	nan	13.59	nan	nan	nan	11.16	0.134	0.08964	0.001077	0.071	0.0040
8473	1984SS5	10	Hygiea	3.1130	nan	0.1371	nan	0.0899	nan	0.15	nan	13.36	nan	nan	nan	9.73	0.147	0.10277	0.001552	0.107	0.0095
8486	1989QV	702	Alauda	3.1639	nan	0.1297	nan	0.3908	nan	0.15	nan	13.32	nan	nan	nan	11.20	0.129	0.08587	0.000996	0.037	0.0035
8509	1991FV2	nan	None	2.3379	nan	0.1818	nan	0.0836	nan	0.15	nan	14.15	nan	nan	nan	2.68	0.280	0.37313	0.038984	0.617	0.1300
8531	Mineosaito	nan	None	2.6289	nan	0.1521	nan	0.0675	nan	0.15	nan	13.77	nan	nan	nan	10.70	0.052	0.09346	0.000454	0.074	0.0078
8609	Shuvalov	nan	None	2.4104	nan	0.2654	nan	0.1543	nan	0.15	nan	13.90	nan	nan	nan	8.85	0.190	0.11279	0.002421	0.097	0.0134
8628	Davidsaltzberg	145	Adeona	2.6508	nan	0.1683	nan	0.2038	nan	0.15	nan	14.01	nan	nan	nan	10.46	0.101	0.09554	0.000920	0.046	0.0037
