number	name	parent	parent_name	a_p	a_p_err	e_p	e_p_err	sin_i_p	sin_i_p_err	g	g_err	h	h_err	mass	mass_err	diameter	diameter_err	inverse_diameter	inverse_diameter_err	albedo	albedo_err
13954	Born	nan	None	2.5451	nan	0.1594	nan	0.2552	nan	0.15	nan	14.40	nan	nan	nan	5.83	0.204	0.17119	0.005976	0.140	0.0159
13958	1991DY	nan	None	2.6689	nan	0.1911	nan	0.1247	nan	0.15	nan	13.76	nan	nan	nan	9.37	0.080	0.10673	0.000911	0.080	0.0157
13968	1991RE7	nan	None	3.1886	nan	0.1288	nan	0.3092	nan	0.15	nan	12.15	nan	nan	nan	18.61	0.191	0.05337	0.000548	0.092	0.0047
13974	1991YC	nan	None	2.5771	nan	0.2575	nan	0.2344	nan	0.15	nan	13.79	nan	nan	nan	9.91	1.615	0.10091	0.016441	0.043	0.0148
14029	1994UC1	nan	None	2.4577	nan	0.1039	nan	0.0237	nan	0.15	nan	14.04	nan	nan	nan	nan	nan	nan	nan	nan	nan
14059	1996BB2	nan	None	2.4169	nan	0.2168	nan	0.1827	nan	0.15	nan	15.01	nan	nan	nan	4.63	0.582	0.21454	0.026974	0.073	0.0296
14113	1998QD32	nan	None	3.0843	nan	0.2265	nan	0.2888	nan	0.15	nan	13.02	nan	nan	nan	11.15	2.465	0.08926	0.019742	0.091	0.0426
14165	1998UZ	2262	Mitidika	2.6230	nan	0.2168	nan	0.2300	nan	0.15	nan	13.67	nan	nan	nan	10.42	0.186	0.09595	0.001710	0.077	0.0062
14168	1998UR15	24	Themis	3.1613	nan	0.1552	nan	0.0244	nan	0.15	nan	13.23	nan	nan	nan	12.62	4.680	0.07924	0.029385	0.064	0.0590
14220	Alexgibbs	145	Adeona	2.6676	nan	0.1660	nan	0.2028	nan	0.15	nan	12.57	nan	nan	nan	20.85	0.109	0.04788	0.000251	0.047	0.0043
14258	Katrinaminck	nan	None	2.3177	nan	0.0440	nan	0.0777	nan	0.15	nan	14.83	nan	nan	nan	5.57	0.092	0.17942	0.002957	0.082	0.0113
14315	Ogawamachi	702	Alauda	3.1533	nan	0.0894	nan	0.3642	nan	0.15	nan	12.82	nan	nan	nan	15.51	0.275	0.06200	0.001102	0.061	0.0068
14354	Kolesnikov	nan	None	2.8506	nan	0.2198	nan	0.0888	nan	0.15	nan	13.97	nan	nan	nan	9.58	0.224	0.10436	0.002435	0.077	0.0119
14355	1987SL5	163	Erigone	2.3777	nan	0.2091	nan	0.0898	nan	0.15	nan	14.82	nan	nan	nan	6.94	0.067	0.14412	0.001387	0.048	0.0059
14380	1989UC6	4203	Brucato	2.6389	nan	0.1535	nan	0.4829	nan	0.15	nan	13.37	nan	nan	nan	17.41	0.053	0.05719	0.000175	0.030	0.0032
14409	1991RM1	nan	None	3.2075	nan	0.1668	nan	0.4707	nan	0.15	nan	12.23	nan	nan	nan	19.87	0.201	0.05026	0.000508	0.078	0.0085
14424	Laval	702	Alauda	3.1447	nan	0.1196	nan	0.3710	nan	0.15	nan	12.69	nan	nan	nan	12.94	0.090	0.07726	0.000537	0.127	0.0223
14434	1992ER11	nan	None	2.4751	nan	0.1768	nan	0.0795	nan	0.15	nan	14.01	nan	nan	nan	9.67	0.122	0.10301	0.001301	0.069	0.0084
14475	1993VT	145	Adeona	2.6404	nan	0.1687	nan	0.2021	nan	0.15	nan	14.43	nan	nan	nan	8.22	0.050	0.12164	0.000739	0.045	0.0075
14519	Ural	24	Themis	3.2210	nan	0.1537	nan	0.0198	nan	0.15	nan	13.44	nan	nan	nan	9.51	0.107	0.10552	0.001027	0.089	0.0204
14626	1998UP39	2262	Mitidika	2.6418	nan	0.2698	nan	0.2205	nan	0.15	nan	14.36	nan	nan	nan	7.13	0.389	0.13235	0.007166	0.095	0.0240
14681	Estellechurch	24	Themis	3.1036	nan	0.1595	nan	0.0359	nan	0.15	nan	13.97	nan	nan	nan	nan	nan	nan	nan	nan	nan
14814	Gurij	nan	None	2.6659	nan	0.2019	nan	0.2156	nan	0.15	nan	14.13	nan	nan	nan	8.36	0.174	0.11753	0.002448	0.074	0.0068
14916	1993VV7	2	Pallas	2.7367	nan	0.2734	nan	0.5409	nan	0.15	nan	13.75	nan	nan	nan	7.61	0.231	0.13137	0.004052	0.124	0.0222
14959	TRIUMF	nan	None	2.4520	nan	0.1881	nan	0.0842	nan	0.15	nan	14.69	nan	nan	nan	6.92	0.207	0.14339	0.004285	0.076	0.0102
14961	d'Auteroche	nan	None	2.4567	nan	0.1395	nan	0.0455	nan	0.15	nan	14.53	nan	nan	nan	7.01	0.152	0.14218	0.003086	0.059	0.0072
15123	2000EP36	24	Themis	3.1681	nan	0.1510	nan	0.0205	nan	0.15	nan	12.96	nan	nan	nan	12.35	0.378	0.08100	0.002480	0.096	0.0230
15163	2000GB4	145	Adeona	2.6769	nan	0.1745	nan	0.2044	nan	0.15	nan	13.70	nan	nan	nan	10.39	0.101	0.09626	0.000934	0.074	0.0141
15224	Penttila	nan	None	2.4219	nan	0.2487	nan	0.1881	nan	0.15	nan	13.99	nan	nan	nan	7.91	0.118	0.12619	0.001879	0.064	0.0134
15345	1994PK11	163	Erigone	2.3610	nan	0.2116	nan	0.0924	nan	0.15	nan	14.56	nan	nan	nan	8.07	0.045	0.12383	0.000690	0.054	0.0042
