MPCnumber,AdjustedType,AdjustedBand
597,S,
598,dubious,
599,Other,L
600,S,
601,C,no
602,C,yes
604,X,
605,unknown,
606,Other,T
607,C,yes
608,unknown,
609,unknown,
611,Other,L
612,Other,D
613,dubious,
615,unknown,
616,S,
618,C,no
619,S,
620,X,
622,S,
623,X,
625,S,
626,C,no
627,X,
628,dubious,
629,X,
631,S,
633,S,
634,X,
635,C,yes
636,unknown,
638,C,yes
639,S,
640,C,no
642,Other,
643,Other,
644,unknown,
645,S,
648,X,
651,S,
653,Other,K
654,C,yes
655,S,
656,C,yes
658,unknown,
660,S,
661,Other,K
662,S,
663,X,
664,dubious,
665,X,
666,Other,D
667,C,dubious
669,S,
670,S,
671,X,
673,S,
674,S,
675,S,
676,X,
677,S,
678,X,
679,Other,L
680,dubious,
681,unknown,
683,C,no
684,unknown,
686,S,
688,C,no
690,C,no
691,dubious,
692,S,
693,unknown,
694,C,yes
695,S,
696,X,
697,C,yes
698,unknown,
701,unknown,
702,C,dubious
704,C,no
705,X,
708,unknown,
709,C,yes
712,X,
713,C,no
714,S,
715,X,
716,S,
717,X,
718,X,
720,S,
723,C,no
726,X,
727,dubious,
729,Other,T
731,X,
732,Other,D
733,C,no
734,C,dubious
735,C,yes
737,S,
738,unknown,
739,X,
740,C,no
741,X,
742,Other,K
743,C,yes
744,unknown,
745,unknown,
746,dubious,
747,dubious,
751,C,yes
752,C,yes
753,S,
754,C,yes
755,X,
756,Other,T
757,X,
758,X,
759,X,
760,S,
761,S,
762,C,no
764,C,yes
766,X,
767,C,no
768,X,
769,unknown,
770,unknown,
771,X,
772,C,no
773,Other,T
774,S,
775,S,
776,C,yes
777,C,dubious
778,C,dubious
779,X,
780,C,no
781,X,
784,C,no
785,dubious,
786,C,no
787,S,
788,C,yes
790,X,
791,C,no
792,X,
793,S,
795,C,no
796,X,
797,S,
798,C,no
799,unknown,
803,Other,D
804,C,no
805,unknown,
806,unknown,
807,unknown,
808,S,
811,Other,K
814,C,no
815,X,
816,X,
817,S,
818,unknown,
820,unknown,
824,S,
828,unknown,
830,unknown,
834,dubious,
838,X,
839,unknown,
840,unknown,
842,unknown,
844,X,
845,C,yes
846,C,no
847,S,
849,X,
850,X,
852,unknown,
856,C,no
858,S,
859,X,
860,X,
861,unknown,
862,S,
863,Other,A
866,X,
868,C,yes
872,X,
874,C,yes
877,C,no
882,X,
885,unknown,
886,C,no
888,unknown,
890,unknown,
891,Other,T
892,X,
893,C,no
894,X,
895,C,no
897,S,
899,X,
903,unknown,
904,C,yes
906,Other,K
907,X,
908,Other,D
910,C,no
912,C,no
914,C,yes
918,S,
921,C,yes
924,X,
925,S,
926,C,no
927,unknown,
928,X,
931,X,
932,C,yes
934,C,yes
936,C,no
940,C,no
943,dubious,
945,S,
946,unknown,
947,S,
949,X,
952,X,
953,S,
954,C,no
955,S,
957,C,no
959,X,
964,S,
965,X,
966,S,
968,S,
971,C,no
972,X,
973,X,
975,unknown,
976,X,
977,C,yes
978,C,no
979,Other,T
980,Other,L
981,C,no
982,Other,L
983,X,
984,S,
986,dubious,
987,Other,T
992,unknown,
994,S,
995,unknown,
999,unknown,
1000,C,no
1001,C,no
1002,unknown,
1003,C,no
1004,X,
1005,X,
1008,unknown,
1010,unknown,
1013,X,
1015,dubious,
1021,C,no
1022,X,
1023,C,yes
1024,C,dubious
1027,C,no
1028,C,no
1029,unknown,
1030,X,
1031,C,yes
1032,X,
1035,C,no
1040,unknown,
1041,C,no
1042,dubious,
1043,unknown,
1046,X,
1048,C,yes
1049,dubious,
1051,X,
1054,dubious,
1059,dubious,
1062,unknown,
1064,dubious,
1067,S,
1068,unknown,
1069,S,
1070,unknown,
1071,X,
1072,C,no
1074,unknown,
1075,dubious,
1082,unknown,
1084,C,yes
1085,unknown,
1086,C,yes
1087,S,
1091,unknown,
1092,unknown,
1093,unknown,
1095,X,
1096,Other,T
1098,X,
1099,S,
1100,S,
1101,C,no
1102,S,
1105,dubious,
1107,X,
